deposit,age,job,education,default,housing,loan,contact,month,duration,campaign,pdays,poutcome
no,43,technician,tertiary,no,yes,yes,cellular,nov,82,1,97,failure
no,44,technician,secondary,no,yes,no,cellular,nov,67,1,105,failure
no,41,admin,secondary,no,yes,no,cellular,nov,164,1,166,failure
no,41,bluecollar,primary,no,yes,no,cellular,nov,290,1,165,success
no,39,admin,tertiary,no,yes,no,cellular,nov,346,1,179,other
no,42,admin,secondary,no,yes,yes,cellular,nov,104,2,28,success
no,36,admin,secondary,no,yes,no,cellular,nov,165,1,131,failure
no,38,management,tertiary,no,yes,no,cellular,nov,134,1,110,failure
no,59,entrepreneur,secondary,no,no,yes,cellular,nov,79,2,182,failure
no,40,services,secondary,no,no,yes,cellular,nov,175,1,138,failure
no,59,bluecollar,primary,no,yes,yes,cellular,nov,319,2,182,failure
no,36,management,tertiary,no,no,yes,cellular,nov,300,1,96,failure
no,45,bluecollar,secondary,no,no,yes,cellular,nov,149,1,127,failure
no,37,management,tertiary,no,yes,no,cellular,nov,106,1,110,failure
no,33,admin,secondary,no,yes,no,cellular,nov,411,1,173,other
no,30,technician,secondary,no,yes,no,cellular,nov,266,1,167,failure
no,43,technician,secondary,no,yes,no,cellular,nov,164,5,127,failure
yes,34,management,tertiary,no,yes,no,cellular,nov,596,1,182,other
no,48,services,secondary,no,yes,no,cellular,nov,77,1,168,failure
yes,31,technician,tertiary,no,no,yes,cellular,nov,419,1,127,other
no,34,admin,secondary,no,no,yes,cellular,nov,162,1,173,failure
no,44,management,primary,no,yes,no,cellular,nov,34,1,124,failure
no,36,management,tertiary,no,yes,no,cellular,nov,103,1,175,failure
no,47,admin,secondary,no,yes,yes,cellular,nov,48,1,188,failure
no,47,bluecollar,secondary,no,yes,no,cellular,nov,38,1,187,failure
no,35,technician,secondary,no,yes,no,cellular,nov,233,1,190,failure
no,39,admin,secondary,no,yes,no,cellular,nov,515,1,181,failure
no,39,selfemployed,tertiary,no,yes,no,cellular,nov,48,1,181,failure
no,50,technician,secondary,no,yes,yes,cellular,nov,162,1,175,failure
no,37,bluecollar,secondary,no,yes,no,cellular,nov,105,1,179,failure
no,39,technician,secondary,no,no,yes,cellular,nov,61,1,113,other
no,45,management,tertiary,no,no,no,cellular,nov,100,1,110,failure
no,43,entrepreneur,primary,no,yes,no,cellular,nov,53,1,183,failure
no,32,bluecollar,secondary,no,yes,no,cellular,nov,216,1,124,success
no,30,management,tertiary,no,no,no,cellular,nov,123,1,124,failure
no,32,services,secondary,no,yes,yes,cellular,nov,131,1,124,failure
no,44,technician,secondary,no,yes,no,cellular,nov,127,1,110,failure
no,34,management,tertiary,no,yes,no,cellular,nov,123,1,124,failure
no,32,management,tertiary,no,yes,yes,cellular,nov,165,2,116,failure
no,59,technician,secondary,no,yes,no,cellular,nov,319,2,165,failure
no,36,services,secondary,no,yes,no,cellular,nov,177,2,174,other
no,44,technician,secondary,no,yes,no,cellular,nov,170,2,188,failure
no,36,management,tertiary,no,no,yes,cellular,nov,135,2,152,other
no,30,services,secondary,no,yes,yes,cellular,nov,174,2,111,failure
no,33,management,tertiary,no,yes,no,cellular,nov,171,2,179,failure
no,44,services,secondary,no,yes,no,cellular,nov,218,2,113,success
no,42,bluecollar,secondary,no,yes,no,cellular,nov,136,2,131,failure
no,45,services,secondary,no,yes,no,cellular,nov,143,2,166,failure
no,33,bluecollar,secondary,no,yes,no,cellular,nov,160,2,182,failure
no,40,management,secondary,no,no,no,cellular,nov,411,3,8,failure
no,36,technician,secondary,no,yes,no,cellular,nov,476,2,124,failure
no,46,bluecollar,secondary,no,no,no,cellular,nov,240,3,119,failure
no,44,bluecollar,secondary,no,yes,no,cellular,nov,825,2,154,other
no,46,services,secondary,no,yes,no,cellular,nov,105,5,188,failure
no,53,retired,secondary,no,yes,no,cellular,nov,180,1,186,failure
no,34,bluecollar,secondary,no,yes,yes,cellular,nov,149,1,175,failure
no,52,management,tertiary,no,yes,no,cellular,nov,121,1,123,other
no,31,management,tertiary,no,yes,yes,cellular,nov,141,2,123,failure
no,36,management,tertiary,no,no,no,cellular,nov,193,4,102,failure
no,44,services,secondary,no,yes,no,telephone,nov,178,5,119,failure
no,32,admin,tertiary,no,yes,no,cellular,nov,100,1,182,failure
no,32,services,secondary,no,yes,no,cellular,nov,81,1,182,failure
no,39,management,tertiary,no,yes,no,cellular,nov,147,1,170,failure
no,31,management,tertiary,no,yes,no,cellular,nov,112,1,180,failure
no,31,management,tertiary,no,yes,no,cellular,nov,316,1,182,failure
no,31,selfemployed,unknown,no,yes,no,cellular,nov,210,1,168,other
no,48,unemployed,secondary,no,yes,no,telephone,nov,137,4,111,failure
no,31,bluecollar,primary,no,yes,no,cellular,nov,114,1,183,other
no,37,services,secondary,no,no,no,cellular,nov,244,1,154,other
no,36,admin,tertiary,no,no,no,cellular,nov,224,1,111,other
no,49,management,tertiary,no,no,no,cellular,nov,106,1,155,failure
no,30,bluecollar,secondary,no,yes,no,cellular,nov,89,1,175,other
no,45,technician,secondary,no,yes,no,cellular,nov,298,1,170,failure
no,32,unemployed,tertiary,no,yes,no,cellular,nov,175,1,180,failure
yes,43,management,tertiary,no,yes,no,cellular,nov,1015,1,198,other
no,40,student,secondary,no,no,no,cellular,nov,52,1,152,failure
no,39,housemaid,secondary,no,no,no,cellular,nov,100,1,117,success
no,46,bluecollar,secondary,no,yes,no,cellular,nov,138,1,117,other
yes,33,technician,tertiary,no,yes,no,cellular,nov,424,2,182,other
no,44,technician,secondary,no,yes,no,cellular,nov,187,6,188,failure
no,58,bluecollar,primary,no,yes,no,cellular,nov,59,1,174,failure
no,58,bluecollar,secondary,no,no,yes,cellular,nov,136,1,167,failure
no,39,management,secondary,no,no,no,cellular,nov,360,1,153,other
no,33,bluecollar,tertiary,no,yes,no,cellular,nov,384,1,183,failure
no,55,retired,secondary,no,no,no,cellular,nov,149,1,170,failure
yes,46,unemployed,secondary,no,yes,no,cellular,nov,522,1,174,success
no,45,selfemployed,secondary,no,no,no,cellular,nov,180,1,111,failure
no,40,bluecollar,secondary,no,no,no,cellular,nov,259,1,111,failure
yes,38,bluecollar,primary,no,yes,no,telephone,nov,623,1,175,other
no,52,selfemployed,secondary,no,yes,no,cellular,nov,559,1,169,failure
no,35,admin,secondary,no,yes,no,cellular,nov,171,2,183,failure
no,33,bluecollar,primary,no,yes,no,cellular,nov,251,1,183,failure
no,38,bluecollar,primary,no,yes,no,cellular,nov,551,1,183,failure
no,55,unemployed,secondary,no,yes,no,cellular,nov,70,1,174,other
no,37,technician,secondary,no,yes,no,cellular,nov,191,1,180,failure
no,37,management,tertiary,no,yes,no,cellular,nov,101,2,104,failure
no,53,bluecollar,secondary,no,yes,yes,cellular,nov,73,2,145,failure
no,30,management,tertiary,no,yes,no,cellular,nov,191,2,175,failure
no,54,retired,secondary,no,no,no,cellular,nov,221,2,190,failure
no,47,bluecollar,secondary,no,yes,no,cellular,nov,635,3,170,failure
no,39,management,tertiary,no,yes,no,cellular,nov,108,4,173,failure
no,39,admin,secondary,no,yes,yes,cellular,nov,287,3,117,other
no,33,management,tertiary,no,yes,no,cellular,nov,1307,3,173,failure
no,59,entrepreneur,primary,no,no,no,telephone,nov,207,2,153,failure
yes,40,management,tertiary,no,yes,no,cellular,nov,639,2,27,success
no,44,bluecollar,secondary,no,yes,no,cellular,nov,126,2,174,failure
no,31,management,tertiary,no,yes,yes,cellular,nov,75,2,119,success
no,36,admin,secondary,no,yes,no,cellular,nov,91,2,184,other
no,44,technician,tertiary,no,yes,yes,cellular,nov,286,6,191,failure
no,32,technician,secondary,no,yes,no,cellular,nov,179,1,197,failure
no,30,management,secondary,no,yes,no,cellular,nov,319,1,105,other
no,52,management,primary,yes,yes,yes,cellular,nov,45,1,196,failure
no,32,bluecollar,primary,no,yes,yes,cellular,nov,146,1,185,failure
no,50,management,secondary,no,yes,no,cellular,nov,152,1,190,failure
no,32,bluecollar,secondary,no,yes,no,cellular,nov,189,1,170,other
no,41,bluecollar,primary,no,yes,no,cellular,nov,220,1,190,failure
no,48,services,secondary,no,yes,no,cellular,nov,200,1,190,failure
no,31,services,secondary,no,yes,no,cellular,nov,321,2,190,other
no,34,services,secondary,no,yes,no,cellular,nov,88,1,126,failure
no,31,entrepreneur,secondary,no,yes,yes,cellular,nov,67,6,177,failure
no,32,services,secondary,no,yes,no,cellular,nov,301,1,183,failure
no,41,bluecollar,secondary,no,no,yes,cellular,nov,180,1,122,failure
yes,39,bluecollar,primary,no,yes,no,cellular,nov,543,1,170,other
no,32,bluecollar,secondary,no,yes,no,cellular,nov,98,1,178,failure
no,44,services,secondary,no,no,yes,cellular,nov,487,1,118,other
no,53,bluecollar,secondary,no,no,no,cellular,nov,83,3,149,failure
no,55,admin,secondary,no,no,no,cellular,nov,324,7,153,failure
no,33,entrepreneur,tertiary,no,yes,no,cellular,nov,161,1,183,failure
no,53,bluecollar,secondary,no,no,no,telephone,nov,75,2,149,failure
no,47,bluecollar,primary,no,yes,yes,cellular,nov,661,4,190,failure
no,33,admin,secondary,no,no,no,cellular,nov,184,1,104,failure
no,34,selfemployed,tertiary,no,yes,no,cellular,nov,895,1,183,failure
no,32,management,tertiary,no,yes,no,cellular,nov,176,1,170,failure
yes,38,entrepreneur,tertiary,no,yes,no,cellular,nov,888,2,183,failure
no,43,selfemployed,secondary,no,yes,no,cellular,nov,154,3,106,failure
no,37,unemployed,secondary,no,no,no,cellular,nov,633,2,156,other
no,51,entrepreneur,tertiary,no,yes,yes,cellular,nov,191,2,189,failure
no,44,selfemployed,tertiary,no,yes,no,cellular,nov,51,1,190,other
no,36,admin,secondary,no,yes,yes,cellular,nov,158,2,174,failure
no,36,bluecollar,tertiary,no,yes,no,cellular,nov,399,2,156,failure
no,34,management,tertiary,no,no,no,cellular,nov,111,3,104,failure
no,32,bluecollar,secondary,no,yes,no,cellular,nov,224,2,183,failure
no,33,bluecollar,secondary,no,yes,no,cellular,nov,214,2,184,failure
no,54,bluecollar,primary,no,yes,no,cellular,nov,283,2,189,other
no,44,management,tertiary,no,yes,no,cellular,nov,136,3,125,other
yes,31,unemployed,secondary,no,yes,no,cellular,nov,1341,3,178,failure
no,32,bluecollar,secondary,no,yes,no,cellular,nov,232,2,183,failure
no,36,bluecollar,primary,no,yes,no,cellular,nov,690,3,183,failure
no,44,technician,tertiary,no,yes,no,cellular,nov,192,2,189,success
no,46,bluecollar,primary,no,yes,no,cellular,nov,825,6,174,failure
no,57,technician,secondary,no,yes,no,cellular,nov,104,4,175,failure
no,30,admin,secondary,no,no,yes,cellular,nov,86,3,133,failure
no,31,management,tertiary,no,yes,no,cellular,nov,37,2,123,failure
no,50,management,tertiary,no,yes,no,cellular,nov,124,4,113,failure
no,58,retired,unknown,no,yes,no,cellular,nov,96,1,121,failure
no,47,technician,tertiary,yes,yes,yes,cellular,nov,85,2,158,failure
no,31,management,tertiary,no,yes,no,cellular,nov,859,1,182,failure
no,31,entrepreneur,tertiary,yes,yes,yes,cellular,nov,846,1,100,success
yes,47,technician,secondary,no,no,no,cellular,nov,591,1,10,failure
yes,59,management,tertiary,no,no,no,cellular,nov,530,1,163,failure
no,35,bluecollar,primary,no,no,no,cellular,nov,258,1,157,failure
no,37,housemaid,secondary,no,yes,no,cellular,nov,567,1,184,other
no,30,unemployed,tertiary,no,yes,no,cellular,nov,73,4,126,failure
no,49,management,tertiary,no,yes,no,cellular,nov,13,3,113,other
yes,31,selfemployed,tertiary,no,yes,yes,cellular,nov,635,1,135,failure
no,32,services,secondary,no,yes,no,cellular,nov,183,1,168,failure
no,43,management,tertiary,no,yes,no,cellular,nov,36,1,109,other
no,45,bluecollar,secondary,no,no,no,cellular,nov,46,1,163,other
no,44,bluecollar,secondary,no,no,yes,cellular,nov,103,1,141,failure
no,31,entrepreneur,secondary,no,yes,no,cellular,nov,66,1,182,failure
no,41,technician,secondary,no,yes,no,cellular,nov,1055,1,177,other
no,34,management,tertiary,no,yes,no,cellular,nov,146,1,101,failure
no,47,bluecollar,secondary,no,no,no,cellular,nov,57,7,154,failure
no,53,bluecollar,secondary,no,no,no,cellular,nov,102,1,121,failure
no,33,bluecollar,secondary,no,no,yes,cellular,nov,183,3,186,failure
no,40,management,secondary,no,no,yes,cellular,nov,456,1,157,failure
no,35,management,tertiary,no,yes,no,cellular,nov,189,1,128,other
no,39,management,tertiary,yes,no,no,cellular,nov,28,3,158,failure
no,30,management,tertiary,no,yes,no,cellular,nov,206,2,119,other
no,48,bluecollar,secondary,no,yes,yes,cellular,nov,82,1,179,failure
no,39,management,tertiary,no,yes,yes,cellular,nov,52,1,179,failure
no,43,admin,tertiary,no,yes,yes,cellular,nov,149,1,175,failure
no,33,services,secondary,no,no,yes,cellular,nov,381,1,126,failure
no,33,admin,secondary,no,yes,no,cellular,nov,347,1,184,failure
no,47,technician,secondary,no,yes,no,cellular,nov,58,1,127,failure
no,32,management,tertiary,no,yes,yes,cellular,nov,44,4,182,failure
no,33,management,tertiary,no,yes,no,cellular,nov,285,1,179,other
no,40,bluecollar,primary,no,yes,no,cellular,nov,182,1,157,failure
no,38,services,secondary,no,yes,no,cellular,nov,1199,3,155,other
no,36,technician,secondary,no,no,yes,cellular,nov,455,2,94,other
no,34,technician,secondary,no,yes,yes,cellular,nov,94,2,199,failure
no,39,admin,secondary,no,no,no,cellular,nov,48,1,137,failure
no,55,bluecollar,primary,no,yes,no,telephone,nov,148,3,172,failure
no,45,admin,secondary,no,yes,no,cellular,nov,56,2,175,failure
no,41,admin,secondary,no,no,no,telephone,nov,94,7,130,other
no,32,admin,tertiary,no,no,no,cellular,nov,383,4,176,failure
no,52,management,tertiary,no,yes,yes,cellular,nov,224,2,175,failure
no,57,management,tertiary,no,yes,no,cellular,nov,55,2,189,failure
no,41,bluecollar,secondary,no,yes,no,cellular,nov,139,6,130,failure
no,40,services,secondary,no,yes,no,cellular,nov,43,1,185,failure
no,30,management,tertiary,no,no,no,cellular,nov,402,4,101,failure
no,58,management,tertiary,no,yes,no,cellular,nov,675,4,171,failure
no,31,services,secondary,no,yes,no,cellular,nov,394,5,179,other
no,32,admin,secondary,no,yes,no,cellular,nov,82,4,191,failure
no,45,technician,tertiary,no,yes,no,cellular,nov,22,2,154,failure
no,34,entrepreneur,tertiary,no,yes,no,cellular,nov,122,3,193,failure
no,37,technician,secondary,no,yes,no,cellular,nov,39,4,182,failure
no,55,housemaid,tertiary,no,no,no,cellular,nov,48,7,154,failure
no,33,technician,secondary,no,yes,no,cellular,nov,258,2,93,failure
no,38,housemaid,tertiary,no,no,no,cellular,nov,407,4,182,other
no,37,bluecollar,primary,no,yes,no,cellular,nov,14,8,185,other
no,32,services,secondary,no,no,yes,cellular,nov,21,7,141,other
no,35,technician,secondary,no,yes,no,cellular,nov,21,3,185,failure
no,33,management,tertiary,no,yes,yes,cellular,nov,211,7,94,failure
no,42,selfemployed,secondary,no,yes,no,cellular,nov,321,3,127,failure
no,50,bluecollar,primary,no,no,no,cellular,nov,281,2,191,failure
no,41,entrepreneur,secondary,no,yes,yes,cellular,nov,12,5,190,failure
no,35,technician,secondary,no,no,yes,cellular,nov,23,8,126,other
no,57,services,secondary,no,no,no,cellular,nov,22,4,114,failure
no,38,services,secondary,no,yes,no,cellular,nov,29,2,176,other
no,50,technician,primary,no,no,yes,cellular,nov,61,7,136,failure
yes,59,services,secondary,no,yes,no,cellular,jan,602,1,253,other
no,52,services,secondary,no,yes,yes,cellular,jan,446,1,182,failure
no,43,services,secondary,no,yes,no,cellular,jan,347,1,230,failure
no,53,selfemployed,tertiary,no,no,no,cellular,jan,176,1,189,failure
no,58,retired,secondary,no,yes,yes,cellular,jan,223,1,196,failure
no,54,entrepreneur,tertiary,no,no,yes,cellular,jan,242,1,184,failure
no,51,admin,secondary,no,no,no,cellular,jan,214,1,183,failure
no,35,management,tertiary,no,no,yes,cellular,jan,507,1,184,failure
no,37,services,secondary,no,yes,no,cellular,jan,252,2,268,failure
no,46,management,tertiary,no,no,no,cellular,jan,107,1,163,other
no,59,admin,secondary,no,yes,no,cellular,jan,222,2,191,failure
no,37,bluecollar,secondary,no,no,no,cellular,jan,389,1,181,failure
no,41,selfemployed,tertiary,no,no,no,telephone,jan,229,1,184,success
no,59,bluecollar,primary,no,no,no,cellular,jan,98,1,154,failure
no,55,technician,secondary,no,no,no,cellular,jan,158,2,153,failure
no,26,bluecollar,secondary,no,yes,no,cellular,jan,148,2,258,failure
no,41,technician,secondary,no,no,no,cellular,jan,411,2,156,other
no,31,management,tertiary,no,yes,yes,cellular,jan,262,2,268,other
no,31,management,tertiary,no,no,no,cellular,jan,100,1,170,failure
no,60,technician,secondary,no,no,no,telephone,jan,123,1,185,failure
no,29,bluecollar,secondary,no,yes,yes,cellular,jan,275,1,240,other
no,32,bluecollar,secondary,no,yes,yes,cellular,jan,74,1,239,other
no,46,bluecollar,secondary,no,yes,yes,cellular,jan,121,1,259,failure
no,36,technician,tertiary,no,yes,yes,cellular,jan,150,1,189,failure
no,36,management,tertiary,no,yes,no,cellular,jan,227,1,261,failure
no,36,technician,secondary,no,yes,no,cellular,jan,29,1,266,failure
no,46,bluecollar,secondary,no,yes,no,cellular,jan,246,1,226,failure
no,60,technician,secondary,no,no,no,cellular,jan,139,1,171,failure
no,34,management,tertiary,no,yes,no,cellular,jan,84,1,251,failure
no,42,bluecollar,primary,no,yes,no,cellular,jan,305,2,261,failure
no,41,management,tertiary,no,yes,no,cellular,jan,112,1,183,other
no,31,technician,tertiary,no,no,no,cellular,jan,106,1,161,failure
no,38,entrepreneur,tertiary,no,yes,yes,cellular,jan,103,1,247,failure
no,58,management,secondary,no,yes,no,cellular,jan,147,1,195,other
no,36,management,tertiary,no,yes,no,cellular,jan,86,1,237,other
no,35,bluecollar,secondary,no,yes,no,cellular,jan,112,1,195,failure
no,28,admin,secondary,no,yes,no,cellular,jan,282,1,248,other
no,30,services,secondary,no,yes,no,cellular,jan,326,1,244,failure
no,45,bluecollar,primary,no,yes,no,cellular,jan,117,1,163,failure
no,29,admin,secondary,no,yes,no,cellular,jan,69,1,241,failure
no,35,technician,secondary,no,no,yes,cellular,jan,456,1,205,other
no,32,bluecollar,secondary,no,yes,no,telephone,jan,48,1,265,failure
no,28,student,tertiary,no,yes,no,cellular,jan,356,1,255,other
no,28,admin,secondary,no,yes,no,cellular,jan,462,2,247,failure
no,59,management,tertiary,no,no,yes,cellular,jan,36,1,188,failure
no,56,bluecollar,primary,no,yes,no,cellular,jan,129,1,265,failure
no,34,technician,secondary,no,no,yes,cellular,jan,136,1,262,failure
no,34,bluecollar,secondary,no,yes,no,cellular,jan,83,1,262,failure
no,35,technician,tertiary,no,yes,no,cellular,jan,141,1,245,failure
no,52,management,secondary,no,yes,no,cellular,jan,113,1,188,other
no,39,services,secondary,no,no,no,cellular,jan,211,2,245,failure
no,47,bluecollar,primary,no,yes,yes,cellular,jan,99,2,251,other
no,45,bluecollar,primary,no,yes,no,cellular,jan,203,1,261,failure
no,45,technician,secondary,no,yes,no,cellular,jan,227,1,246,failure
no,28,management,tertiary,no,no,yes,cellular,jan,94,1,205,failure
no,30,services,secondary,no,no,yes,cellular,jan,114,2,192,other
no,32,management,tertiary,no,no,no,cellular,jan,125,2,154,failure
no,49,management,tertiary,no,yes,no,cellular,jan,57,2,248,failure
no,27,technician,secondary,no,yes,no,cellular,jan,236,2,247,failure
no,28,technician,tertiary,no,yes,no,cellular,jan,228,2,262,failure
no,57,management,tertiary,no,yes,yes,cellular,jan,100,2,247,failure
no,31,management,secondary,no,no,no,cellular,jan,120,2,160,failure
no,36,technician,secondary,no,no,no,cellular,jan,187,2,185,failure
no,28,student,secondary,no,yes,no,cellular,jan,284,2,196,failure
no,33,services,secondary,no,yes,no,cellular,jan,323,2,259,success
no,32,technician,secondary,no,yes,no,cellular,jan,213,2,261,other
no,45,technician,secondary,no,no,no,cellular,jan,78,3,197,failure
no,31,technician,tertiary,no,no,yes,cellular,jan,157,3,182,failure
no,32,bluecollar,primary,no,yes,yes,cellular,jan,489,3,182,other
no,37,technician,secondary,no,yes,no,cellular,jan,88,3,244,failure
no,47,retired,tertiary,no,yes,yes,cellular,jan,191,3,227,failure
no,33,bluecollar,secondary,no,yes,yes,cellular,jan,263,3,239,failure
no,26,bluecollar,secondary,no,yes,no,cellular,jan,235,3,262,failure
no,46,management,tertiary,no,yes,yes,cellular,jan,150,2,247,failure
no,34,management,tertiary,no,no,no,telephone,jan,521,3,158,other
no,46,management,unknown,no,yes,no,cellular,jan,445,1,189,failure
no,29,services,tertiary,no,yes,yes,cellular,jan,499,5,248,failure
no,34,technician,unknown,no,yes,no,cellular,jan,263,2,191,other
no,31,technician,tertiary,no,yes,no,cellular,jan,200,1,259,failure
no,58,entrepreneur,tertiary,no,no,yes,cellular,jan,540,1,2,other
no,36,unemployed,secondary,no,yes,no,cellular,jan,169,1,2,other
no,50,management,tertiary,no,no,no,cellular,jan,199,1,205,failure
no,55,technician,unknown,no,yes,no,cellular,jan,138,1,270,failure
no,31,unemployed,secondary,no,no,no,cellular,jan,130,1,2,other
no,52,management,tertiary,no,yes,no,cellular,jan,131,1,241,failure
no,33,bluecollar,secondary,no,no,no,cellular,jan,76,2,207,failure
no,56,technician,primary,no,yes,yes,cellular,jan,108,2,2,other
no,26,technician,tertiary,no,no,no,cellular,jan,151,2,2,other
no,36,admin,secondary,no,no,no,cellular,jan,632,3,228,other
no,34,bluecollar,secondary,no,yes,no,cellular,jan,84,4,252,other
no,56,bluecollar,secondary,no,no,yes,cellular,jan,90,2,232,failure
no,26,services,secondary,no,yes,yes,cellular,jan,206,5,239,failure
no,46,bluecollar,primary,no,no,no,cellular,jan,89,4,235,failure
no,41,technician,secondary,no,yes,no,cellular,jan,249,3,245,failure
no,49,management,tertiary,no,no,no,cellular,jan,166,3,2,other
no,28,management,tertiary,no,no,no,telephone,jan,399,2,2,other
no,33,management,tertiary,no,no,no,cellular,feb,84,2,174,failure
yes,40,technician,tertiary,no,yes,no,cellular,feb,215,1,242,failure
no,31,management,tertiary,no,yes,no,cellular,feb,181,1,264,failure
no,46,technician,secondary,no,yes,no,cellular,feb,346,1,180,failure
no,39,bluecollar,unknown,no,no,no,cellular,feb,731,1,193,failure
no,59,retired,primary,no,no,yes,cellular,feb,88,1,208,other
no,45,selfemployed,tertiary,no,yes,no,cellular,feb,221,1,206,failure
no,47,technician,secondary,no,yes,no,cellular,feb,276,1,269,success
no,40,unemployed,secondary,no,yes,no,cellular,feb,134,1,266,failure
no,40,retired,primary,no,yes,no,cellular,feb,200,1,271,failure
no,56,technician,secondary,no,no,no,cellular,feb,315,2,208,failure
no,36,unemployed,secondary,no,yes,no,cellular,feb,619,1,272,failure
no,58,admin,secondary,no,no,yes,telephone,feb,161,3,5,other
no,47,admin,secondary,no,no,no,cellular,feb,71,1,266,failure
no,53,management,primary,no,yes,no,telephone,feb,45,1,217,failure
no,38,selfemployed,secondary,no,yes,no,cellular,feb,123,1,258,failure
no,46,admin,primary,no,yes,no,cellular,feb,75,1,264,other
no,57,admin,secondary,no,no,no,cellular,feb,261,1,265,failure
no,36,bluecollar,secondary,no,no,yes,cellular,feb,521,2,193,other
no,34,bluecollar,secondary,no,yes,yes,cellular,feb,171,2,193,other
no,43,bluecollar,secondary,no,yes,no,cellular,feb,87,1,263,failure
no,38,technician,secondary,no,yes,no,cellular,feb,159,1,187,failure
no,31,management,secondary,no,yes,no,cellular,feb,221,2,272,failure
no,32,management,secondary,no,yes,no,cellular,feb,544,1,269,failure
no,37,technician,secondary,no,yes,no,cellular,feb,247,2,269,failure
no,32,admin,tertiary,no,no,no,cellular,feb,141,1,75,failure
no,45,admin,secondary,no,yes,no,cellular,feb,150,2,189,failure
no,35,technician,tertiary,no,yes,no,cellular,feb,236,2,217,failure
